SampleID	PC1	PC2	PC3	Group
ILB_1	0.038912	-0.0952348	-0.0129855	B
ILB_2	-0.105305	0.0137855	-0.0139979	B
ILB_3	0.068419	0.0880221	-0.0418076	B
ISP_1	0.037434	-0.0912576	-0.00696024	B
ISP_2	-0.0981434	0.0134074	-0.00765302	B
ISP_3	0.063168	0.0814168	-0.0323586	B
Kidney_1	0.0393018	-0.0965668	-0.0139294	B
Kidney_2	-0.106463	0.0138694	-0.0145541	B
Kidney_3	0.0659156	0.0844608	-0.0389682	B
LDM_1	0.0368686	-0.0896864	-0.00764655	B
LDM_2	-0.0997769	0.0138432	-0.00985995	B
LD_1	0.0377363	-0.0925989	-0.00993711	B
LD_2	-0.101438	0.0138004	-0.0105597	B
LIN_1	0.0380615	-0.0930987	-0.0103127	B
LIN_2	-0.0993877	0.0136714	-0.00972434	B
Left_Atrium	0.0396209	-0.096652	-0.0125705	B
Left_Atrium	0.066948	0.0860657	-0.0381645	B
Left_Ventricle	0.0384773	-0.0934864	-0.0103928	B
Left_Ventricle	-0.101357	0.0139822	-0.0103529	B
Left_Ventricle	0.0653284	0.0843635	-0.0359925	B
Liver-0d_1	-0.0077376	0.0180531	0.0156563	B
Liver-0d_2	-0.00620767	0.0129402	0.00998047	B
Liver-0d_3	-0.0118899	0.0196417	0.00876325	B
Liver-30d_1	-0.00657495	0.0110686	0.012711	B
Liver-30d_2	0.00396711	0.00661522	0.0169455	B
Liver-30d_3	0.0127715	0.00979443	0.0139862	B
Liver_1	0.0350175	-0.084272	-0.00745312	B
Liver_2	-0.096574	0.0130363	-0.0092288	B
Liver_3	0.0604544	0.0761865	-0.0301367	B
Lung_1	0.0391584	-0.0959463	-0.0136848	B
Lung_2	-0.105167	0.0141262	-0.0138794	B
Lung_3	0.0678694	0.0871185	-0.0416385	B
MAD_1	-0.0563836	-0.0204616	-0.0105241	B
MAD_3	0.0691177	0.0888752	-0.0430743	B
MAS_1	0.0382806	-0.0943945	-0.0108881	B
MAS_2	-0.100692	0.0138433	-0.0107079	B
OEA_1	0.038206	-0.0940183	-0.0104589	B
OEA_2	-0.0994974	0.0136089	-0.0095768	B
OEA_3	0.0643208	0.083318	-0.0343394	B
Ovary_1	0.0392387	-0.0969003	-0.0145873	B
Ovary_2	-0.104246	0.0138157	-0.0137722	B
Ovary_3	0.0671798	0.086267	-0.0408081	B
PAD_1	0.0391995	-0.0963516	-0.0130956	B
PAD_2	-0.103844	0.0139703	-0.0131269	B
PAD_3	0.0689444	0.0888053	-0.0429115	B
PEIC_PEIC	0.0359739	0.0469256	0.357553	B
PK15_PK15	0.0341432	0.045311	0.343665	B
PM_1	0.0374913	-0.0920073	-0.00904141	B
PM_2	-0.10499	0.0140922	-0.012949	B
PM_3	0.0649293	0.0836111	-0.0352135	B
PP_1	0.0371115	-0.0896594	-0.00786789	B
PP_2	-0.097227	0.0136975	-0.00814304	B
PP_3	0.0631482	0.0814276	-0.03252	B
PS_1	0.0349908	-0.0855668	-0.00838129	B
PS_2	-0.099272	0.0135045	-0.00910045	B
RAD_2	-0.108114	0.01431	-0.0154582	B
RAD_3	0.0666384	0.0854349	-0.0397334	B
RA_1	0.0377321	-0.0924022	-0.0095967	B
RA_2	-0.101572	0.0137808	-0.0109394	B
RA_3	0.0638205	0.0823377	-0.0335376	B
RF_1	0.035964	-0.0864561	-0.00513989	B
RF_2	-0.0970588	0.0132052	-0.00828033	B
RF_3	0.0631922	0.0809905	-0.0322872	B
RHO_1	0.0376913	-0.092656	-0.00981191	B
RHO_2	-0.101335	0.0136009	-0.0106935	B
Retina_1	0.0357369	0.0472626	0.358161	B
Retina_2	0.0344898	0.0473811	0.355511	B
Right_Atrium	0.0389853	-0.0947825	-0.0116768	B
Right_Atrium	-0.106906	0.0143997	-0.0134896	B
Right_Atrium	0.0672342	0.0864244	-0.0384826	B
Right_Ventricle	0.0383252	-0.09324	-0.00985993	B
Right_Ventricle	-0.101856	0.0140612	-0.0105546	B
Right_Ventricle	0.0652276	0.0835401	-0.0351716	B
SAR_1	0.0359989	-0.0868453	-0.00592487	B
SAR_2	-0.0971508	0.0132917	-0.00693968	B
SAR_3	0.0645533	0.083171	-0.0345593	B
SM_1	0.0366115	-0.0894157	-0.00770327	B
SM_2	-0.0990157	0.0135518	-0.00911094	B
SM_3	0.064008	0.0823512	-0.0335137	B
SOL_1	0.0376218	-0.0921284	-0.0095526	B
SOL_2	-0.0978472	0.0136225	-0.00900341	B
SOL_3	0.0371584	-0.0910828	-0.00932284	B
SP_1	0.036623	-0.088733	-0.00675354	B
SP_2	-0.0960434	0.0135958	-0.00701237	B
SP_3	0.064595	0.083423	-0.0339495	B
SSP_1	0.036844	-0.0887612	-0.00562667	B
SSP_2	-0.100023	0.0136736	-0.00829212	B
SSP_3	0.0647783	0.0834716	-0.0342714	B
ST_1	0.0372875	-0.0916239	-0.00922911	B
ST_2	-0.101559	0.0137013	-0.0103797	B
ST_3	0.0662867	0.0851331	-0.0368059	B
SUB_1	0.0366639	-0.0872576	-0.00104701	B
SUB_2	-0.102197	0.013968	-0.00977141	B
SUB_3	0.0632106	0.0815709	-0.032011	B
Small_Intestine	0.0386105	-0.0934795	-0.0120228	B
Small_Intestine	-0.106686	0.0141304	-0.0145534	B
Small_Intestine	0.0666134	0.0855712	-0.0389712	B
Spleen_1	0.0386055	-0.0947382	-0.013411	B
Spleen_2	-0.110073	0.0143241	-0.0163945	B
Spleen_3	0.0668462	0.0856531	-0.0399729	B
Stomach_1	0.0369144	-0.0895485	-0.0105634	B
TA_1	0.0377754	-0.0924159	-0.00967043	C
TA_2	-0.100421	0.0136203	-0.0100144	C
TA_3	0.0648503	0.0835062	-0.0348108	C
TB-LA_1	0.0372795	-0.0909724	-0.00816398	C
TB-LA_2	-0.100435	0.0133563	-0.0101187	C
TB-LO_1	0.038703	-0.0958501	-0.0116736	C
TB-LO_2	-0.101102	0.0138134	-0.00995409	C
TB-LO_3	0.0636611	0.0825524	-0.0333649	C
TB-M_1	0.0375158	-0.0919753	-0.00878804	C
TB-M_2	-0.0970454	0.0133966	-0.00796894	C
TB-M_3	0.0643413	0.0830319	-0.0335165	C
TFL_1	0.0368878	-0.09002	-0.00815491	C
TFL_2	-0.100155	0.0136261	-0.00986144	C
TFL_3	0.0649477	0.0839603	-0.0358982	C
TIC_1	0.0373949	-0.0915307	-0.00920757	C
TIC_2	-0.0968066	0.0129009	-0.00919891	C
TIC_3	0.0623593	0.0805349	-0.0318235	C
TM_1	0.0369749	-0.089875	-0.00755672	C
TM_2	-0.0979971	0.0136125	-0.00847799	C
TM_3	0.0630996	0.0817901	-0.0328672	C
TRC_1	0.0372088	-0.0912539	-0.00870182	C
TRC_2	-0.0999626	0.0135036	-0.00950025	C
Testis_1	0.0375578	0.0496033	0.377573	C
Testis_2	0.0362574	0.0478154	0.357728	C
Testis_3	0.0370513	0.0488404	0.373127	C
ULB_1	0.0399209	-0.0985385	-0.0148757	C
ULB_2	-0.106811	0.0140263	-0.0144691	C
ULB_3	0.0701609	0.09025	-0.0441123	C
Uterus_1	0.039778	-0.0974786	-0.0146118	C
Uterus_2	-0.101179	0.0137253	-0.0122815	C
Uterus_3	0.0668414	0.0858873	-0.0407557	C
VI_1	0.0363447	-0.087338	-0.00601501	C
VI_2	-0.0975283	0.0135704	-0.00841335	C
VI_3	0.0651391	0.0839653	-0.0351424	C
VL_1	0.035788	-0.0860707	-0.00477114	C
VL_2	-0.0997445	0.0137026	-0.00786976	C
VL_3	0.0633328	0.0816231	-0.0324374	C
VM_1	0.0364357	-0.0883504	-0.00679441	C
VM_2	-0.0972716	0.013581	-0.00822681	C
VM_3	0.0649282	0.083985	-0.0348045	C
